participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.bomb,player.bomb_row,player.bomb_col,player.boxes_collected,player.pay_this_round,player.round_result,player.payoff,group.id_in_subsession,subsession.round_number,session.code
8,zortsr8d,,0,183,183,etfs,Adios,128.200.135.199,2019-04-03 22:25:13.091782+00:00,1,,,578,8,1,3,10,60,1,0,0,1,1,pbsjqd7g
9,7fm4yn87,,0,184,183,etfs,Adios,128.200.135.214,2019-04-03 22:25:15.038124+00:00,1,,,579.2,9,1,6,2,20,1,0,0,1,1,pbsjqd7g
1,s56wgrrf,,0,184,183,etfs2,Adios,128.200.135.201,2019-04-04 22:24:43.289179+00:00,1,,,586,1,0,5,5,34,1,102,102,1,1,4yu1tws4
2,vt19uu7e,,0,184,183,etfs2,Adios,128.200.135.214,2019-04-04 22:24:57.005237+00:00,1,,,622.8,2,1,8,7,40,1,0,0,1,1,4yu1tws4
3,pj2spifl,,0,184,183,etfs2,Adios,128.200.135.218,2019-04-04 22:24:57.921180+00:00,1,,,528,3,1,4,9,55,1,0,0,1,1,4yu1tws4
4,w27f3u1b,,0,184,183,etfs2,Adios,128.200.135.199,2019-04-04 22:24:58.611950+00:00,1,,,458.5,4,1,3,1,50,1,0,0,1,1,4yu1tws4
5,b5mqvgzg,,0,184,183,etfs2,Adios,128.200.135.212,2019-04-04 22:24:59.830307+00:00,1,,,623.2,5,0,5,6,30,1,90,90,1,1,4yu1tws4
6,7xm6i3xk,,0,184,183,etfs2,Adios,128.200.135.209,2019-04-04 22:25:01.768086+00:00,1,,,549,6,0,2,3,7,1,21,21,1,1,4yu1tws4
7,cg5ei9di,,0,184,183,etfs2,Adios,128.200.135.216,2019-04-04 22:25:03.434927+00:00,1,,,740.8,7,0,2,6,46,1,138,138,1,1,4yu1tws4
8,f8mpxcnn,,0,184,183,etfs2,Adios,128.200.135.208,2019-04-04 22:25:04.853053+00:00,1,,,526,8,1,1,3,50,1,0,0,1,1,4yu1tws4
9,e9skg05c,,0,184,183,etfs2,Adios,128.200.135.206,2019-04-04 22:25:05.198802+00:00,1,,,549.8,9,0,4,5,15,1,45,45,1,1,4yu1tws4
1,t2y9scp6,,0,184,183,etfs2,Adios,128.200.135.214,2019-04-19 21:22:02.519561+00:00,1,,,542,1,0,7,3,35,1,105,105,1,1,jnycj0gy
2,hpauyt3c,,0,184,183,etfs2,Adios,128.200.135.212,2019-04-19 21:22:03.048414+00:00,1,,,696,2,0,8,1,55,1,165,165,1,1,jnycj0gy
3,sae84m3r,,0,184,183,etfs2,Adios,128.200.135.206,2019-04-19 21:22:03.749238+00:00,1,,,599,3,1,2,6,44,1,0,0,1,1,jnycj0gy
4,0eda5p80,,0,184,183,etfs2,Adios,128.200.135.208,2019-04-19 21:22:03.925434+00:00,1,,,754,4,0,1,4,35,1,105,105,1,1,jnycj0gy
5,59mtwkr7,,0,184,183,etfs2,Adios,128.200.135.201,2019-04-19 21:22:04.888224+00:00,1,,,650.5,5,1,5,2,19,1,0,0,1,1,jnycj0gy
6,2mbkokqe,,0,184,183,etfs2,Adios,128.200.135.216,2019-04-19 21:22:09.378499+00:00,1,,,579.5,6,0,7,7,31,1,93,93,1,1,jnycj0gy
7,ydwea9sd,,0,184,183,etfs2,Adios,128.200.135.209,2019-04-19 21:22:11.525268+00:00,1,,,496.5,7,0,9,7,20,1,60,60,1,1,jnycj0gy
8,31tkyrvt,,0,184,183,etfs2,Adios,128.200.135.218,2019-04-19 21:22:12.426867+00:00,1,,,671.5,8,0,3,2,10,1,30,30,1,1,jnycj0gy
9,r6eoen06,,0,184,183,etfs2,Adios,128.200.135.199,2019-04-19 21:22:24.765148+00:00,1,,,681,9,0,5,10,28,1,84,84,1,1,jnycj0gy
1,1h559pc6,,0,184,183,etfs,Adios,128.200.135.218,2019-04-25 22:25:41.179759+00:00,1,,,671.5,1,0,1,4,30,1,90,90,1,1,l5wcvj1h
2,r4tredrn,,0,184,183,etfs,Adios,128.200.135.212,2019-04-25 22:25:41.324818+00:00,1,,,626.5,2,0,2,8,25,1,75,75,1,1,l5wcvj1h
3,ou2qk7v0,,0,184,183,etfs,Adios,128.200.135.206,2019-04-25 22:25:41.539132+00:00,1,,,741,3,0,3,10,60,1,180,180,1,1,l5wcvj1h
4,x9xp3d7n,,0,184,183,etfs,Adios,128.200.135.209,2019-04-25 22:25:44.944717+00:00,1,,,503,4,1,8,10,55,1,0,0,1,1,l5wcvj1h
5,rxawnn06,,0,184,183,etfs,Adios,128.200.135.199,2019-04-25 22:25:44.327545+00:00,1,,,572,5,0,8,2,20,1,60,60,1,1,l5wcvj1h
6,mgivfnlm,,0,184,183,etfs,Adios,128.200.135.214,2019-04-25 22:25:44.794862+00:00,1,,,650,6,1,10,4,44,1,0,0,1,1,l5wcvj1h
