participant.id_in_session,participant.code,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code
3,yls3cu7p,0,184,183,etfs,Adios,128.200.135.214,2018-10-18 22:28:19.928369+00:00,1,,,6565.9,3,502,0,3,0,0,0,0,0,3,1,0,1,1,0,0,-1,0,0,0,0,0,0,0,3295,0,504,0,1,10,15,25,10,4,1,15,1,-1,29,2,0,7,7,3qygj8mp
4,vguqr6ow,0,184,183,etfs,Adios,128.200.135.209,2018-10-18 22:28:20.922545+00:00,1,,,6254.8,4,357,0,3,0,8,2,1,12,3,9,0,13,2,3,21,-9,2,0,23,2,1,31.8,0,2591,0,351,0,1,10,15,25,10,4,1,15,1,-1,29,2,0,7,7,3qygj8mp
5,hsqjyan4,0,184,183,etfs,Adios,128.200.135.199,2018-10-18 22:28:20.827886+00:00,1,,,5729.4,5,385,-15,4,0,0,0,1,12,4,6,1,15,1,0,0,-7,4,0,0,0,1,31,0,2674,0,397,0,1,10,15,25,10,4,1,15,1,-1,29,2,0,7,7,3qygj8mp
6,xywi1yvc,0,184,183,etfs,Adios,128.200.135.216,2018-10-18 22:28:21.141582+00:00,1,,,3332.5,6,113,-38,2,-2,0,0,2,10,0,12,0,0,0,4,23,-12,8,2,32,2,0,0,0,2288,0,139,0,1,10,15,25,10,4,1,15,1,-1,29,2,0,7,7,3qygj8mp
7,r0ld178q,0,183,183,etfs,Adios,128.200.135.201,2018-10-18 22:28:21.216749+00:00,1,,,5583,7,451.5,58,0,0,13,0,0,5,0,0,0,7,0,0,12,0,2,-2,16,0,2,9,0,2127,0,393.5,0,1,10,15,25,10,4,1,15,1,-1,29,2,0,7,7,3qygj8mp
8,tvkxmgs8,0,183,183,etfs,Adios,128.200.135.218,2018-10-18 22:28:21.333093+00:00,1,,,7327,8,432,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,30,0,2344,0,432,0,1,10,15,25,10,4,1,15,1,-1,29,2,0,7,7,3qygj8mp
9,n30r442n,0,184,183,etfs,Adios,128.200.135.208,2018-10-18 22:28:22.955609+00:00,1,,,3953.5,9,184,0,7,0,9,3,0,0,7,0,0,0,0,0,0,0,12,0,0,0,1,30,0,1684,0,191,0,1,10,15,25,10,4,1,15,1,-1,29,2,0,7,7,3qygj8mp
1,iggr5048,0,184,183,etfs,Adios,128.200.135.206,2018-10-18 22:28:17.609321+00:00,1,,,6160.3,1,452.5,0,3,0,9,2,0,0,3,1,0,10,1,0,0,0,2,0,30,2,0,0,2,3571.5,0,457.5,0,1,10,15,25,0,0,1,15,1,0,0,0,1,8,8,3qygj8mp
2,pwo28ffe,0,184,183,etfs,Adios,128.200.135.212,2018-10-18 22:28:18.987517+00:00,1,,,7442,2,466,0,10,0,5,5,0,5,10,0,0,0,0,0,0,0,0,0,10,10,0,0,0,3795,0,476,0,1,10,15,25,0,0,1,15,1,0,0,0,1,8,8,3qygj8mp
3,yls3cu7p,0,184,183,etfs,Adios,128.200.135.214,2018-10-18 22:28:19.928369+00:00,1,,,6565.9,3,502,0,3,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3800,0,505,0,1,10,15,25,0,0,1,15,1,0,0,0,1,8,8,3qygj8mp
4,vguqr6ow,0,184,183,etfs,Adios,128.200.135.209,2018-10-18 22:28:20.922545+00:00,1,,,6254.8,4,357,-15,3,0,8,1,1,12,3,9,1,15.5,1,5,18.5,0,2,0,22,1,1,31.5,2,2968,0,377,0,1,10,15,25,0,0,1,15,1,0,0,0,1,8,8,3qygj8mp
5,hsqjyan4,0,184,183,etfs,Adios,128.200.135.199,2018-10-18 22:28:20.827886+00:00,1,,,5729.4,5,370,0,4,0,0,0,0,0,4,7,0,0,0,0,0,0,4,0,0,0,0,0,4,3052,0,378,0,1,10,15,25,0,0,1,15,1,0,0,0,1,8,8,3qygj8mp
6,xywi1yvc,0,184,183,etfs,Adios,128.200.135.216,2018-10-18 22:28:21.141582+00:00,1,,,3332.5,6,75,15,0,0,11,2,0,0,0,12,-1,0,0,2,15,0,10,0,30,1,0,0,10,2358,0,70,0,1,10,15,25,0,0,1,15,1,0,0,0,1,8,8,3qygj8mp
7,r0ld178q,0,183,183,etfs,Adios,128.200.135.201,2018-10-18 22:28:21.216749+00:00,1,,,5583,7,509.5,0,0,0,5,1,0,10,0,0,0,6,0,0,8,0,0,0,8,1,0,15,0,2636.5,0,509.5,0,1,10,15,25,0,0,1,15,1,0,0,0,1,8,8,3qygj8mp
8,tvkxmgs8,0,183,183,etfs,Adios,128.200.135.218,2018-10-18 22:28:21.333093+00:00,1,,,7327,8,432,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,30,0,0,50,0,2776,0,432,0,1,10,15,25,0,0,1,15,1,0,0,0,1,8,8,3qygj8mp
9,n30r442n,0,184,183,etfs,Adios,128.200.135.208,2018-10-18 22:28:22.955609+00:00,1,,,3953.5,9,184,0,7,0,9,3,0,0,7,0,0,13,2,0,0,0,12,0,0,0,0,0,12,1887,0,203,0,1,10,15,25,0,0,1,15,1,0,0,0,1,8,8,3qygj8mp
